year,month,day,closest_hour_crs_dep,temp,pressure,humidity,wind_speed,wind_deg,weather_id
2025,3,24,6,15.73,1017,37,4.14,2,802
2025,3,24,7,14.98,1017,37,3.17,22,802
2025,3,24,8,14.22,1017,37,3,39,802
2025,3,24,9,13.47,1017,38,3.06,31,801
2025,3,24,10,13.27,1017,38,2.72,44,801
2025,3,24,11,12.53,1017,40,2.18,68,800
2025,3,24,12,11.84,1018,41,2.33,54,800
2025,3,24,13,11.35,1019,41,2.01,36,800
2025,3,24,14,14.18,1019,36,1.93,104,800
2025,3,24,15,16.85,1019,30,2.39,100,800
2025,3,24,16,18.53,1019,25,2.6,133,800
2025,3,24,17,19.68,1018,20,1.94,136,800
2025,3,24,18,22.87,1018,18,1.94,164,800
2025,3,24,19,24.02,1017,17,0.93,181,800
2025,3,24,20,24.73,1016,17,2.12,185,800
2025,3,24,21,25.56,1015,18,2.06,196,800
2025,3,24,22,25.98,1014,19,2.02,202,800
2025,3,24,23,25.69,1014,21,2.36,198,801
2025,3,25,0,24.9,1014,25,1.77,181,802
2025,3,25,1,23.07,1014,28,1.95,151,800
2025,3,25,2,22.24,1015,31,2.19,133,800
2025,3,25,3,21.56,1015,35,2.73,139,800
2025,3,25,4,20.82,1015,39,3.31,148,800
2025,3,25,5,19.94,1016,43,3.05,154,800
2025,3,25,6,19.26,1016,47,2.56,158,801
2025,3,25,7,18.84,1017,50,2.27,157,804
2025,3,25,8,18.33,1017,53,2.33,167,804
2025,3,25,9,17.82,1017,57,2.72,189,803
2025,3,25,10,17.41,1017,61,2.52,199,803
2025,3,25,11,17.08,1017,63,1.95,195,802
2025,3,25,12,16.88,1018,64,2.27,199,802
2025,3,25,13,17,1018,65,2.37,199,800
2025,3,25,14,18.85,1019,60,2.8,201,800
2025,3,25,15,21.36,1019,55,3.11,202,800
2025,3,25,16,23.81,1019,52,3.23,200,800
2025,3,25,17,25.9,1019,51,3.72,199,800
2025,3,25,18,27.64,1018,47,3.17,198,800
2025,3,25,19,29.25,1017,42,2.76,186,800
2025,3,25,20,30.39,1016,36,2.84,174,800
2025,3,25,21,31.09,1016,32,2.74,172,800
2025,3,25,22,31.38,1015,29,2.94,161,800
2025,3,25,23,30.88,1015,30,3.91,164,801
2025,3,26,0,29.18,1015,35,4.06,144,801
2025,3,26,1,27.29,1015,41,6.19,139,800
2025,3,26,2,26.15,1016,40,4.84,147,800
2025,3,26,3,21.35,1019,68,6.53,58,500
2025,3,26,4,21.05,1019,68,4.9,94,500
2025,3,26,5,20.81,1019,68,4.91,122,500
2025,3,26,6,20.74,1019,66,3.88,134,500
2025,3,26,7,20.11,1018,67,2.83,146,500
2025,3,26,8,19.07,1019,77,1.72,109,501
2025,3,26,9,18.54,1019,81,2.03,80,501
2025,3,26,10,17.75,1020,84,3.48,59,501
2025,3,26,11,17.3,1020,85,4.8,53,500
2025,3,26,12,17.17,1021,87,4.21,81,501
2025,3,26,13,17.29,1022,87,3.72,94,500
2025,3,26,14,18.02,1023,80,5.18,83,500
2025,3,26,15,17.79,1023,79,5.42,90,501
2025,3,26,16,18.26,1024,74,5.1,99,501
2025,3,26,17,19.56,1023,67,5.69,100,500
2025,3,26,18,20.79,1023,62,6.12,105,500
2025,3,26,19,21.83,1022,58,6.02,113,804
2025,3,26,20,23.51,1021,53,5.34,121,804
2025,3,26,21,24.44,1020,52,4.89,123,803
2025,3,26,22,25.25,1019,51,4.39,126,803
2025,3,26,23,25.32,1018,52,4.89,122,803
2025,3,27,0,23.83,1018,60,4.87,120,803
2025,3,27,1,22.72,1018,66,4.62,119,804
2025,3,27,2,22.13,1018,70,5.24,117,804
2025,3,27,3,21.75,1019,72,5.32,126,804
2025,3,27,4,21.19,1019,74,5.41,131,804
2025,3,27,5,21,1019,75,5.52,134,804
2025,3,27,6,20.74,1019,76,5.05,143,804
2025,3,27,7,20.19,1019,78,4.58,151,804
2025,3,27,8,19.95,1019,76,3.98,156,804
2025,3,27,9,19.58,1018,72,3.92,176,804
2025,3,27,10,18.93,1018,74,3.35,175,804
2025,3,27,11,18.36,1018,78,3.52,178,804
2025,3,27,12,18.08,1019,84,3.38,169,804
2025,3,27,13,18.07,1019,86,3.24,158,804
2025,3,27,14,19.07,1019,83,4.05,169,804
2025,3,27,15,20.49,1020,79,4.44,182,500
2025,3,27,16,21.78,1020,74,4.67,195,500
2025,3,27,17,22.8,1020,65,5.21,197,500
2025,3,27,18,22.81,1019,59,6.43,201,804
2025,3,27,19,21.76,1019,61,5.82,194,804
2025,3,27,20,19.11,1019,77,6.42,194,500
2025,3,27,21,18.65,1018,72,5.79,140,500
2025,3,27,22,17.46,1018,75,6.5,120,500
2025,3,27,23,16.79,1017,82,5.14,117,500
2025,3,28,0,16.61,1016,87,5.28,119,501
2025,3,28,1,16.75,1016,90,5.44,119,500
2025,3,28,2,17.18,1016,88,5.33,136,500
2025,3,28,3,16.89,1016,83,5.82,147,500
2025,3,28,4,16.11,1015,87,6.18,134,500
2025,3,28,5,16.42,1015,89,5.86,141,500
